ASSAY_ID,ASSAY_CHEMBL_ID,8,16,32,64,96
688267,CHEMBL1614530,0.29+/-0.16,0.28+/-0.15,0.31+/-0.17,0.38+/-0.16,0.41+/-0.16
600886,CHEMBL1040692,0.29+/-0.16,0.41+/-0.14,0.39+/-0.13,0.40+/-0.13,0.43+/-0.13
737826,CHEMBL1741325,0.14+/-0.17,0.21+/-0.20,0.27+/-0.21,0.32+/-0.21,0.31+/-0.19
737824_1,CHEMBL1741323,0.32+/-0.18,0.30+/-0.18,0.38+/-0.17,0.45+/-0.17,0.46+/-0.16
737825,CHEMBL1741324,0.28+/-0.17,0.20+/-0.17,0.30+/-0.14,0.27+/-0.17,0.30+/-0.16
1495405,CHEMBL3562136,0.27+/-0.17,0.23+/-0.17,0.32+/-0.16,0.34+/-0.17,0.39+/-0.16
737053,CHEMBL1738598,0.68+/-0.08,0.68+/-0.07,0.65+/-0.09,0.67+/-0.08,0.68+/-0.07
737400,CHEMBL1738606,0.34+/-0.17,0.39+/-0.14,0.42+/-0.14,0.43+/-0.14,0.44+/-0.15
736947,CHEMBL1738312,0.71+/-0.08,0.70+/-0.08,0.71+/-0.08,0.71+/-0.08,0.72+/-0.07
752347,CHEMBL1794311,0.82+/-0.07,0.83+/-0.05,0.84+/-0.05,0.84+/-0.05,0.84+/-0.05
752496,CHEMBL1794486,0.49+/-0.11,0.48+/-0.13,0.47+/-0.11,0.52+/-0.12,0.51+/-0.11
752509,CHEMBL1794499,0.31+/-0.16,0.36+/-0.14,0.36+/-0.17,0.33+/-0.16,0.36+/-0.16
752594,CHEMBL1794584,0.39+/-0.17,0.52+/-0.13,0.58+/-0.13,0.62+/-0.11,0.65+/-0.12
809095,CHEMBL1964081,0.49+/-0.14,0.50+/-0.12,0.49+/-0.12,0.53+/-0.11,0.56+/-0.10
845173,CHEMBL2114784,0.55+/-0.14,0.61+/-0.13,0.69+/-0.11,0.73+/-0.10,0.72+/-0.10
845196,CHEMBL2114807,0.78+/-0.06,0.80+/-0.05,0.81+/-0.05,0.83+/-0.04,0.84+/-0.04
954338,CHEMBL2354287,0.67+/-0.09,0.66+/-0.07,0.63+/-0.08,0.66+/-0.07,0.65+/-0.07
845206,CHEMBL2114817,0.28+/-0.18,0.44+/-0.13,0.43+/-0.13,0.47+/-0.12,0.46+/-0.12
