ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.22+/-0.16,0.17+/-0.15,0.23+/-0.16,0.25+/-0.16,0.10+/-0.13
600886,CHEMBL1040692,0.22+/-0.16,0.30+/-0.16,0.19+/-0.14,0.20+/-0.15,0.09+/-0.11
737826,CHEMBL1741325,0.08+/-0.12,0.05+/-0.10,0.05+/-0.10,0.11+/-0.14,0.05+/-0.10
737824_1,CHEMBL1741323,0.20+/-0.16,0.09+/-0.12,0.14+/-0.15,0.19+/-0.16,0.11+/-0.13
737825,CHEMBL1741324,0.24+/-0.16,0.13+/-0.14,0.15+/-0.15,0.17+/-0.15,0.14+/-0.14
1495405,CHEMBL3562136,0.36+/-0.17,0.27+/-0.18,0.35+/-0.18,0.38+/-0.17,0.42+/-0.16
737053,CHEMBL1738598,0.65+/-0.10,0.66+/-0.09,0.62+/-0.10,0.67+/-0.07,0.70+/-0.06
737400,CHEMBL1738606,0.27+/-0.17,0.28+/-0.17,0.24+/-0.15,0.25+/-0.15,0.26+/-0.16
736947,CHEMBL1738312,0.70+/-0.10,0.72+/-0.08,0.73+/-0.06,0.73+/-0.06,0.75+/-0.05
752347,CHEMBL1794311,0.83+/-0.06,0.84+/-0.03,0.84+/-0.04,0.85+/-0.03,0.85+/-0.04
752496,CHEMBL1794486,0.42+/-0.16,0.39+/-0.16,0.44+/-0.14,0.49+/-0.13,0.46+/-0.13
752509,CHEMBL1794499,0.34+/-0.16,0.32+/-0.16,0.31+/-0.16,0.35+/-0.16,0.32+/-0.16
752594,CHEMBL1794584,0.48+/-0.16,0.56+/-0.14,0.62+/-0.12,0.66+/-0.11,0.63+/-0.12
809095,CHEMBL1964081,0.53+/-0.14,0.54+/-0.13,0.51+/-0.13,0.55+/-0.12,0.55+/-0.12
845173,CHEMBL2114784,0.64+/-0.12,0.64+/-0.12,0.69+/-0.10,0.72+/-0.09,0.74+/-0.09
845196,CHEMBL2114807,0.68+/-0.12,0.77+/-0.05,0.77+/-0.07,0.80+/-0.04,0.81+/-0.04
954338,CHEMBL2354287,0.63+/-0.12,0.65+/-0.09,0.58+/-0.11,0.64+/-0.09,0.64+/-0.08
845206,CHEMBL2114817,0.26+/-0.16,0.36+/-0.16,0.36+/-0.16,0.36+/-0.15,0.28+/-0.15
