ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.13+/-0.10,0.12+/-0.09,0.08+/-0.07,0.09+/-0.07,0.17+/-0.08
600886,CHEMBL1040692,0.03+/-0.09,0.08+/-0.04,0.05+/-0.14,0.03+/-0.08,0.10+/-0.09
737826,CHEMBL1741325,0.02+/-0.06,0.03+/-0.07,0.10+/-0.10,0.10+/-0.07,0.04+/-0.04
737824_1,CHEMBL1741323,0.02+/-0.05,0.10+/-0.08,0.04+/-0.10,0.04+/-0.07,0.02+/-0.09
737825,CHEMBL1741324,0.08+/-0.09,0.09+/-0.11,0.02+/-0.08,0.11+/-0.11,0.07+/-0.11
1495405,CHEMBL3562136,0.14+/-0.09,0.09+/-0.10,0.05+/-0.09,0.13+/-0.08,0.09+/-0.08
737053,CHEMBL1738598,0.05+/-0.08,0.04+/-0.08,0.06+/-0.07,0.02+/-0.06,0.03+/-0.07
737400,CHEMBL1738606,0.16+/-0.13,0.06+/-0.12,0.05+/-0.08,0.10+/-0.13,0.08+/-0.08
736947,CHEMBL1738312,0.03+/-0.07,0.03+/-0.07,0.06+/-0.05,0.07+/-0.11,-0.02+/-0.07
752347,CHEMBL1794311,0.01+/-0.04,0.04+/-0.05,-0.00+/-0.05,-0.01+/-0.05,0.05+/-0.05
752496,CHEMBL1794486,0.12+/-0.11,0.08+/-0.14,0.11+/-0.11,0.08+/-0.07,0.03+/-0.09
752509,CHEMBL1794499,0.19+/-0.08,0.05+/-0.07,0.15+/-0.07,0.13+/-0.10,0.07+/-0.07
752594,CHEMBL1794584,0.22+/-0.09,0.21+/-0.08,0.24+/-0.09,0.08+/-0.05,0.23+/-0.10
809095,CHEMBL1964081,0.06+/-0.04,0.05+/-0.05,0.05+/-0.09,0.07+/-0.08,-0.02+/-0.10
845173,CHEMBL2114784,0.29+/-0.07,0.09+/-0.09,0.18+/-0.08,0.08+/-0.08,0.16+/-0.05
845196,CHEMBL2114807,-0.01+/-0.05,-0.03+/-0.08,0.02+/-0.05,0.02+/-0.04,0.04+/-0.07
954338,CHEMBL2354287,0.12+/-0.05,0.06+/-0.07,0.06+/-0.06,0.07+/-0.09,0.04+/-0.13
845206,CHEMBL2114817,0.07+/-0.07,0.03+/-0.05,-0.06+/-0.03,0.05+/-0.05,0.01+/-0.12
