ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.41+/-0.17,0.22+/-0.20,0.42+/-0.11,0.23+/-0.17,0.42+/-0.05
600886,CHEMBL1040692,0.40+/-0.19,0.56+/-0.08,0.31+/-0.15,0.43+/-0.14,0.44+/-0.07
737826,CHEMBL1741325,0.22+/-0.18,0.41+/-0.11,0.38+/-0.17,0.28+/-0.01,0.56+/-0.05
737824_1,CHEMBL1741323,0.42+/-0.14,0.31+/-0.11,0.48+/-0.09,0.35+/-0.05,0.49+/-0.16
737825,CHEMBL1741324,0.27+/-0.21,0.26+/-0.08,0.40+/-0.10,0.32+/-0.07,0.23+/-0.06
1495405,CHEMBL3562136,0.32+/-0.06,0.24+/-0.19,0.34+/-0.11,0.33+/-0.04,0.27+/-0.10
737053,CHEMBL1738598,0.71+/-0.05,0.72+/-0.06,0.54+/-0.03,0.64+/-0.15,0.41+/-0.19
737400,CHEMBL1738606,0.38+/-0.14,0.43+/-0.13,0.38+/-0.08,0.44+/-0.22,0.49+/-0.08
736947,CHEMBL1738312,0.68+/-0.04,0.70+/-0.04,0.65+/-0.07,0.63+/-0.10,0.69+/-0.07
752347,CHEMBL1794311,0.74+/-0.17,0.85+/-0.05,0.85+/-0.03,0.87+/-0.01,0.82+/-0.02
752496,CHEMBL1794486,0.42+/-0.09,0.49+/-0.20,0.48+/-0.04,0.42+/-0.01,0.59+/-0.06
752509,CHEMBL1794499,0.21+/-0.20,0.27+/-0.10,0.54+/-0.08,0.41+/-0.21,0.38+/-0.13
752594,CHEMBL1794584,0.38+/-0.22,0.45+/-0.18,0.57+/-0.11,0.67+/-0.17,0.56+/-0.08
809095,CHEMBL1964081,0.56+/-0.04,0.54+/-0.06,0.46+/-0.10,0.32+/-0.10,0.64+/-0.09
845173,CHEMBL2114784,0.68+/-0.07,0.53+/-0.10,0.64+/-0.02,0.72+/-0.08,0.78+/-0.08
845196,CHEMBL2114807,0.64+/-0.21,0.72+/-0.06,0.78+/-0.02,0.77+/-0.09,0.76+/-0.03
954338,CHEMBL2354287,0.67+/-0.07,0.68+/-0.12,0.40+/-0.15,0.52+/-0.12,0.58+/-0.04
845206,CHEMBL2114817,0.41+/-0.17,0.39+/-0.12,0.39+/-0.14,0.46+/-0.14,0.53+/-0.08
