ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.54+/-0.11,0.56+/-0.10,0.61+/-0.12,0.62+/-0.12,0.65+/-0.10
600886,CHEMBL1040692,0.54+/-0.12,0.52+/-0.09,0.55+/-0.11,0.57+/-0.10,0.64+/-0.09
737826,CHEMBL1741325,0.60+/-0.15,0.61+/-0.14,0.68+/-0.11,0.68+/-0.11,0.70+/-0.13
737824_1,CHEMBL1741323,0.58+/-0.15,0.62+/-0.14,0.66+/-0.11,0.68+/-0.12,0.68+/-0.11
737825,CHEMBL1741324,0.55+/-0.13,0.57+/-0.13,0.58+/-0.12,0.58+/-0.12,0.60+/-0.10
1495405,CHEMBL3562136,0.59+/-0.13,0.65+/-0.13,0.71+/-0.11,0.71+/-0.10,0.74+/-0.09
737053,CHEMBL1738598,0.50+/-0.11,0.51+/-0.10,0.52+/-0.11,0.51+/-0.11,0.53+/-0.12
737400,CHEMBL1738606,0.54+/-0.13,0.53+/-0.14,0.58+/-0.10,0.64+/-0.11,0.66+/-0.11
736947,CHEMBL1738312,0.55+/-0.12,0.55+/-0.12,0.56+/-0.12,0.58+/-0.10,0.60+/-0.11
752347,CHEMBL1794311,0.65+/-0.15,0.68+/-0.11,0.74+/-0.09,0.78+/-0.09,0.78+/-0.10
752496,CHEMBL1794486,0.53+/-0.12,0.56+/-0.13,0.60+/-0.10,0.64+/-0.10,0.60+/-0.11
752509,CHEMBL1794499,0.54+/-0.13,0.57+/-0.13,0.57+/-0.11,0.61+/-0.11,0.61+/-0.12
752594,CHEMBL1794584,0.74+/-0.13,0.79+/-0.09,0.82+/-0.08,0.82+/-0.08,0.82+/-0.07
809095,CHEMBL1964081,0.54+/-0.13,0.64+/-0.13,0.68+/-0.09,0.70+/-0.09,0.72+/-0.09
845173,CHEMBL2114784,0.71+/-0.14,0.84+/-0.08,0.87+/-0.07,0.88+/-0.07,0.89+/-0.06
845196,CHEMBL2114807,0.67+/-0.12,0.73+/-0.12,0.74+/-0.11,0.79+/-0.09,0.79+/-0.09
954338,CHEMBL2354287,0.52+/-0.12,0.50+/-0.10,0.51+/-0.12,0.54+/-0.11,0.55+/-0.12
845206,CHEMBL2114817,0.51+/-0.11,0.59+/-0.10,0.61+/-0.11,0.62+/-0.10,0.62+/-0.11
