ASSAY_ID,assay_chembl_id,8_auc_after_train,16_auc_after_train,32_auc_after_train,64_auc_after_train,96_auc_after_train
688267,CHEMBL1614530,0.53+/-0.08,0.53+/-0.10,0.56+/-0.10,0.58+/-0.10,0.60+/-0.09
600886,CHEMBL1040692,0.53+/-0.08,0.51+/-0.10,0.55+/-0.08,0.58+/-0.09,0.57+/-0.08
737826,CHEMBL1741325,0.56+/-0.12,0.58+/-0.13,0.62+/-0.09,0.65+/-0.10,0.65+/-0.11
737824_1,CHEMBL1741323,0.60+/-0.11,0.57+/-0.11,0.65+/-0.11,0.67+/-0.08,0.68+/-0.08
737825,CHEMBL1741324,0.53+/-0.11,0.54+/-0.08,0.54+/-0.10,0.57+/-0.09,0.58+/-0.09
1495405,CHEMBL3562136,0.56+/-0.12,0.63+/-0.10,0.67+/-0.10,0.70+/-0.08,0.69+/-0.08
737053,CHEMBL1738598,0.51+/-0.08,0.51+/-0.11,0.51+/-0.09,0.52+/-0.09,0.52+/-0.09
737400,CHEMBL1738606,0.52+/-0.11,0.53+/-0.09,0.56+/-0.11,0.60+/-0.09,0.60+/-0.09
736947,CHEMBL1738312,0.56+/-0.10,0.51+/-0.10,0.57+/-0.10,0.58+/-0.09,0.60+/-0.09
752347,CHEMBL1794311,0.61+/-0.14,0.63+/-0.12,0.66+/-0.10,0.68+/-0.10,0.71+/-0.08
752496,CHEMBL1794486,0.52+/-0.09,0.55+/-0.09,0.58+/-0.09,0.59+/-0.09,0.59+/-0.09
752509,CHEMBL1794499,0.53+/-0.09,0.52+/-0.10,0.59+/-0.10,0.59+/-0.10,0.58+/-0.10
752594,CHEMBL1794584,0.69+/-0.11,0.71+/-0.10,0.75+/-0.08,0.74+/-0.08,0.73+/-0.08
809095,CHEMBL1964081,0.55+/-0.10,0.63+/-0.11,0.65+/-0.08,0.65+/-0.09,0.67+/-0.08
845173,CHEMBL2114784,0.71+/-0.13,0.78+/-0.08,0.78+/-0.07,0.82+/-0.06,0.84+/-0.06
845196,CHEMBL2114807,0.62+/-0.12,0.66+/-0.10,0.71+/-0.10,0.74+/-0.08,0.74+/-0.08
954338,CHEMBL2354287,0.49+/-0.08,0.49+/-0.09,0.53+/-0.10,0.53+/-0.08,0.55+/-0.10
845206,CHEMBL2114817,0.50+/-0.10,0.54+/-0.09,0.58+/-0.11,0.58+/-0.10,0.61+/-0.09
