ASSAY_ID,assay_chembl_id,16_auc_before_train,32_auc_before_train,64_auc_before_train,96_auc_before_train,16_auc_after_train,32_auc_after_train,64_auc_after_train,96_auc_after_train
688267,CHEMBL1614530,0.58+/-0.10,0.60+/-0.09,0.64+/-0.10,0.63+/-0.09,0.59+/-0.10,0.60+/-0.09,0.58+/-0.09,0.59+/-0.11
600886,CHEMBL1040692,0.54+/-0.09,0.58+/-0.09,0.63+/-0.08,0.66+/-0.08,0.50+/-0.09,0.53+/-0.09,0.59+/-0.08,0.60+/-0.09
737826,CHEMBL1741325,0.53+/-0.08,0.56+/-0.09,0.62+/-0.11,0.65+/-0.11,0.57+/-0.11,0.59+/-0.10,0.59+/-0.11,0.63+/-0.12
737824_1,CHEMBL1741323,0.53+/-0.08,0.58+/-0.08,0.64+/-0.10,0.65+/-0.09,0.59+/-0.12,0.63+/-0.11,0.63+/-0.11,0.63+/-0.09
737825,CHEMBL1741324,0.57+/-0.08,0.61+/-0.09,0.64+/-0.10,0.67+/-0.10,0.65+/-0.12,0.66+/-0.10,0.65+/-0.11,0.68+/-0.08
1495405,CHEMBL3562136,0.62+/-0.12,0.66+/-0.12,0.70+/-0.11,0.73+/-0.11,0.76+/-0.09,0.79+/-0.08,0.78+/-0.07,0.80+/-0.08
737053,CHEMBL1738598,0.55+/-0.09,0.60+/-0.09,0.65+/-0.09,0.67+/-0.08,0.56+/-0.10,0.56+/-0.09,0.62+/-0.09,0.60+/-0.08
737400,CHEMBL1738606,0.58+/-0.09,0.62+/-0.09,0.65+/-0.08,0.66+/-0.09,0.55+/-0.10,0.60+/-0.08,0.62+/-0.09,0.63+/-0.09
736947,CHEMBL1738312,0.56+/-0.10,0.58+/-0.10,0.62+/-0.09,0.62+/-0.09,0.52+/-0.09,0.54+/-0.09,0.57+/-0.09,0.61+/-0.09
752347,CHEMBL1794311,0.65+/-0.11,0.68+/-0.09,0.69+/-0.09,0.74+/-0.08,0.58+/-0.12,0.68+/-0.09,0.68+/-0.10,0.74+/-0.08
752496,CHEMBL1794486,0.70+/-0.09,0.71+/-0.10,0.72+/-0.08,0.73+/-0.08,0.59+/-0.09,0.68+/-0.09,0.75+/-0.07,0.76+/-0.07
752509,CHEMBL1794499,0.56+/-0.09,0.59+/-0.10,0.60+/-0.09,0.63+/-0.10,0.53+/-0.09,0.57+/-0.11,0.62+/-0.10,0.63+/-0.10
752594,CHEMBL1794584,0.53+/-0.10,0.59+/-0.08,0.61+/-0.09,0.61+/-0.09,0.66+/-0.09,0.70+/-0.09,0.70+/-0.08,0.70+/-0.09
809095,CHEMBL1964081,0.68+/-0.10,0.70+/-0.09,0.73+/-0.09,0.73+/-0.08,0.71+/-0.09,0.72+/-0.09,0.73+/-0.09,0.72+/-0.08
845173,CHEMBL2114784,0.62+/-0.10,0.66+/-0.08,0.68+/-0.08,0.67+/-0.09,0.69+/-0.10,0.73+/-0.08,0.71+/-0.08,0.72+/-0.08
845196,CHEMBL2114807,0.62+/-0.08,0.68+/-0.09,0.71+/-0.09,0.72+/-0.08,0.71+/-0.09,0.73+/-0.08,0.74+/-0.08,0.73+/-0.08
954338,CHEMBL2354287,0.53+/-0.08,0.58+/-0.09,0.58+/-0.09,0.65+/-0.10,0.51+/-0.09,0.55+/-0.09,0.57+/-0.09,0.57+/-0.10
845206,CHEMBL2114817,0.56+/-0.09,0.60+/-0.09,0.63+/-0.09,0.67+/-0.10,0.57+/-0.12,0.60+/-0.08,0.61+/-0.09,0.62+/-0.09
