ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.51+/-0.11,0.49+/-0.11,0.49+/-0.12,0.48+/-0.09,0.48+/-0.11
600886,CHEMBL1040692,0.51+/-0.12,0.51+/-0.10,0.51+/-0.11,0.49+/-0.09,0.49+/-0.11
737826,CHEMBL1741325,0.47+/-0.14,0.48+/-0.15,0.52+/-0.13,0.48+/-0.12,0.52+/-0.10
737824_1,CHEMBL1741323,0.52+/-0.12,0.47+/-0.12,0.48+/-0.12,0.46+/-0.10,0.46+/-0.13
737825,CHEMBL1741324,0.49+/-0.11,0.48+/-0.12,0.51+/-0.12,0.52+/-0.08,0.50+/-0.09
1495405,CHEMBL3562136,0.50+/-0.14,0.51+/-0.14,0.48+/-0.10,0.48+/-0.11,0.51+/-0.10
737053,CHEMBL1738598,0.49+/-0.09,0.51+/-0.11,0.46+/-0.11,0.50+/-0.10,0.50+/-0.11
737400,CHEMBL1738606,0.49+/-0.13,0.54+/-0.11,0.53+/-0.13,0.55+/-0.11,0.54+/-0.11
736947,CHEMBL1738312,0.49+/-0.12,0.48+/-0.11,0.46+/-0.11,0.46+/-0.12,0.46+/-0.12
752347,CHEMBL1794311,0.47+/-0.12,0.45+/-0.13,0.50+/-0.13,0.50+/-0.13,0.50+/-0.12
752496,CHEMBL1794486,0.51+/-0.11,0.52+/-0.11,0.50+/-0.12,0.49+/-0.12,0.51+/-0.13
752509,CHEMBL1794499,0.52+/-0.13,0.49+/-0.10,0.53+/-0.13,0.55+/-0.10,0.57+/-0.10
752594,CHEMBL1794584,0.53+/-0.18,0.54+/-0.16,0.56+/-0.19,0.56+/-0.16,0.59+/-0.13
809095,CHEMBL1964081,0.51+/-0.13,0.50+/-0.14,0.50+/-0.13,0.55+/-0.12,0.52+/-0.14
845173,CHEMBL2114784,0.54+/-0.21,0.53+/-0.20,0.54+/-0.18,0.56+/-0.17,0.61+/-0.17
845196,CHEMBL2114807,0.54+/-0.15,0.55+/-0.18,0.59+/-0.14,0.58+/-0.14,0.61+/-0.16
954338,CHEMBL2354287,0.52+/-0.09,0.52+/-0.09,0.53+/-0.11,0.51+/-0.09,0.56+/-0.11
845206,CHEMBL2114817,0.50+/-0.11,0.50+/-0.12,0.48+/-0.12,0.50+/-0.11,0.45+/-0.12
