ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.52+/-0.09,0.53+/-0.10,0.55+/-0.09,0.60+/-0.10,0.58+/-0.09
600886,CHEMBL1040692,0.52+/-0.09,0.52+/-0.10,0.55+/-0.09,0.55+/-0.09,0.59+/-0.09
737826,CHEMBL1741325,0.54+/-0.14,0.59+/-0.11,0.62+/-0.12,0.64+/-0.09,0.67+/-0.10
737824_1,CHEMBL1741323,0.59+/-0.11,0.60+/-0.11,0.63+/-0.11,0.65+/-0.08,0.66+/-0.09
737825,CHEMBL1741324,0.53+/-0.09,0.55+/-0.10,0.56+/-0.09,0.58+/-0.10,0.58+/-0.10
1495405,CHEMBL3562136,0.59+/-0.09,0.63+/-0.10,0.68+/-0.08,0.68+/-0.09,0.69+/-0.08
737053,CHEMBL1738598,0.49+/-0.08,0.51+/-0.08,0.51+/-0.09,0.55+/-0.08,0.51+/-0.08
737400,CHEMBL1738606,0.53+/-0.10,0.54+/-0.10,0.57+/-0.08,0.60+/-0.10,0.61+/-0.09
736947,CHEMBL1738312,0.52+/-0.09,0.55+/-0.10,0.55+/-0.09,0.58+/-0.11,0.57+/-0.09
752347,CHEMBL1794311,0.61+/-0.12,0.67+/-0.11,0.69+/-0.10,0.70+/-0.09,0.72+/-0.10
752496,CHEMBL1794486,0.52+/-0.09,0.53+/-0.10,0.57+/-0.08,0.60+/-0.09,0.58+/-0.09
752509,CHEMBL1794499,0.52+/-0.09,0.54+/-0.10,0.55+/-0.11,0.58+/-0.08,0.58+/-0.09
752594,CHEMBL1794584,0.71+/-0.08,0.73+/-0.07,0.74+/-0.07,0.75+/-0.07,0.75+/-0.08
809095,CHEMBL1964081,0.57+/-0.11,0.62+/-0.11,0.64+/-0.08,0.67+/-0.09,0.65+/-0.08
845173,CHEMBL2114784,0.71+/-0.11,0.80+/-0.07,0.80+/-0.07,0.82+/-0.07,0.84+/-0.06
845196,CHEMBL2114807,0.64+/-0.11,0.67+/-0.11,0.70+/-0.08,0.72+/-0.08,0.75+/-0.08
954338,CHEMBL2354287,0.50+/-0.08,0.51+/-0.09,0.51+/-0.10,0.53+/-0.09,0.54+/-0.09
845206,CHEMBL2114817,0.52+/-0.08,0.55+/-0.10,0.57+/-0.09,0.57+/-0.09,0.59+/-0.09
